,type,from,to,arcrole,order
74,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_OtherNetPPE,http://xbrl.org/int/dim/arcrole/domain-member,3
75,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_PropertyPlantAndEquipment,http://xbrl.org/int/dim/arcrole/domain-member,4
76,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetTable,http://xbrl.org/int/dim/arcrole/all,1
77,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetLineItems,http://xbrl.org/int/dim/arcrole/domain-member,2
78,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalStock,http://xbrl.org/int/dim/arcrole/domain-member,1
79,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalSurplus,http://xbrl.org/int/dim/arcrole/domain-member,2
80,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_RetainedEarnings,http://xbrl.org/int/dim/arcrole/domain-member,3
81,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_TreasuryStock,http://xbrl.org/int/dim/arcrole/domain-member,4
82,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_ShareholdersEquity,http://xbrl.org/int/dim/arcrole/domain-member,5
83,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecurities,http://xbrl.org/int/dim/arcrole/domain-member,1
84,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ForeignCurrencyTranslationAdjustment,http://xbrl.org/int/dim/arcrole/domain-member,2
85,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationAndTranslationAdjustments,http://xbrl.org/int/dim/arcrole/domain-member,3
86,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToOwnersOfTheParent,http://xbrl.org/int/dim/arcrole/domain-member,1
