,arc_role,loc_label,xlink_label
667,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract_3
668,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract_4
669,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract_5
670,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract_6
671,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesForecastUSAbstract,label_IncomeBeforeIncomeTaxesForecastUSAbstract
672,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesForecastUSAbstract,label_IncomeBeforeIncomeTaxesForecastUSAbstract_2
673,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToGrossRevenuesRatioUS,label_IncomeBeforeIncomeTaxesToGrossRevenuesRatioUS
674,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToGrossRevenuesRatioUS,label_IncomeBeforeIncomeTaxesToGrossRevenuesRatioUS_2
675,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalAssetsRatioUS,label_IncomeBeforeIncomeTaxesToTotalAssetsRatioUS
676,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalAssetsRatioUS,label_IncomeBeforeIncomeTaxesToTotalAssetsRatioUS_2
677,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalCapitalRatioUS,label_IncomeBeforeIncomeTaxesToTotalCapitalRatioUS
678,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalCapitalRatioUS,label_IncomeBeforeIncomeTaxesToTotalCapitalRatioUS_2
679,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalRevenuesRatioUS,label_IncomeBeforeIncomeTaxesToTotalRevenuesRatioUS
